mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__hidden_layer_sizes,param_mlp__solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
689.3049877882004,2.403675675392151,4.454869031906128,0.17895078659057617,tanh,150,sgd,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'sgd'}",0.7511027095148077,0.7505863956215794,0.7508445525681935,0.0002581569466141853,9,0.8452147701582516,0.8444511596283145,0.8448329648932831,0.00038180526496855993
941.591669678688,4.455366253852844,4.256421804428101,0.2093191146850586,tanh,150,adam,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'adam'}",0.7899146976673964,0.7914247431889236,0.7906697204281601,0.0007550227607636129,1,0.9998676898650437,0.9994031434445254,0.9996354166547845,0.0002322732102591485
455.73338544368744,1.9800523519515991,3.9302769899368286,0.5397943258285522,tanh,"(100, 100)",sgd,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'sgd'}",0.7305695343078521,0.7329034312554734,0.7317364827816628,0.0011669484738106584,11,0.8171993206731512,0.8180129990714948,0.817606159872323,0.00040683919917183786
610.4198656082153,3.4791922569274902,4.420848965644836,0.1187509298324585,tanh,"(100, 100)",adam,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'adam'}",0.7857520187155687,0.7806297567527235,0.783190887734146,0.002561130981422577,3,0.999801521667218,0.9998011005768083,0.9998013111220132,2.1054520488172912e-07
236.6058725118637,1.7262142896652222,4.108871817588806,0.259846568107605,tanh,"(50, 50, 50)",sgd,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'sgd'}",0.6427893328730473,0.6588255203926214,0.6508074266328343,0.00801809375978707,12,0.6990555602824811,0.7270452839629722,0.7130504221227266,0.013994861840245565
325.58046662807465,2.832961916923523,4.424145936965942,0.025417804718017578,tanh,"(50, 50, 50)",adam,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'adam'}",0.7521817634667469,0.7563940049213332,0.7542878841940401,0.0021061207272931592,8,0.9960851967354521,0.9936025589764095,0.9948438778559308,0.001241318879521336
663.7064681053162,3.130913496017456,4.896277070045471,0.022612452507019043,relu,150,sgd,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'sgd'}",0.7606693276020877,0.7634294385432474,0.7620493830726676,0.001380055470579844,6,0.8945533769063181,0.8939724037763254,0.8942628903413217,0.0002904865649963617
842.484340429306,84.87173223495483,4.622841835021973,0.04892110824584961,relu,150,adam,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': 150, 'mlp__solver': 'adam'}",0.7863473229326887,0.7828060925600469,0.7845767077463678,0.001770615186320934,2,0.9996693340387539,0.999933708982433,0.9998015215105934,0.00013218747183951773
457.991210103035,1.5202268362045288,3.8429564237594604,0.6811624765396118,relu,"(100, 100)",sgd,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'sgd'}",0.763923337091319,0.7634456928838952,0.763684514987607,0.00023882210371189982,5,0.9230442176870749,0.920585310413411,0.921814764050243,0.0012294536368319675
564.0258532762527,37.616058468818665,3.1131019592285156,1.5265858173370361,relu,"(100, 100)",adam,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 100), 'mlp__solver': 'adam'}",0.7807723547219967,0.7786992579659537,0.7797358063439752,0.0010365483780214735,4,1.0,1.0,1.0,0.0
233.57753896713257,1.0059888362884521,4.4632261991500854,0.08985412120819092,relu,"(50, 50, 50)",sgd,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'sgd'}",0.7423444798695041,0.7432231158772714,0.7427837978733878,0.0004393180038836375,10,0.9216824812349526,0.913710655913211,0.9176965685740818,0.003985912660870783
213.04753530025482,34.16645109653473,2.7677747011184692,1.3470960855484009,relu,"(50, 50, 50)",adam,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (50, 50, 50), 'mlp__solver': 'adam'}",0.761166164009766,0.7603866128101558,0.760776388409961,0.0003897755998050756,7,0.9997353797300873,1.0,0.9998676898650436,0.00013231013495634825
